Iteration,X,Y
0,1,5
1,2,6
2,3,7
3,4,8
4,5,9
5,6,10
6,7,11
7,8,12
8,9,13
9,10,14
10,11,15
11,12,16
12,13,17
13,14,18
14,15,19
15,16,20
16,17,21
17,18,22
18,19,23
19,20,24
20,21,25
21,22,26
22,23,27
23,24,28
24,25,29
25,26,30
26,27,31
27,28,32
28,29,33
29,30,34
30,31,35
31,32,36
32,33,37
33,34,38
34,35,39
35,36,40
36,37,41
37,38,42
38,39,43
39,40,44
40,41,45
41,42,46
42,43,47
43,44,48
44,45,49
45,46,50
46,47,51
47,48,52
48,49,53
49,50,54
50,51,55
51,52,56
52,53,57
53,54,58
54,55,59
55,56,60
56,57,61
57,58,62
58,59,63
59,60,64
60,61,65
61,62,66
62,63,67
63,64,68
64,65,69
65,66,70
66,67,71
67,68,72
68,69,73
69,70,74
70,71,75
71,72,76
72,73,77
73,74,78
74,75,79
75,76,80
76,77,81
77,78,82
78,79,83
79,80,84
80,81,85
81,82,86
82,83,87
83,84,88
84,85,89
85,86,90
86,87,91
87,88,92
88,89,93
89,90,94
90,91,95
91,92,96
92,93,97
93,94,98
94,95,99
95,96,100
96,97,101
97,98,102
98,99,103
99,100,104
100,101,105
101,102,106
102,103,107
103,104,108
104,105,109
105,106,110
106,107,111
107,108,112
108,109,113
109,110,114
110,111,115
111,112,116
112,113,117
113,114,118
114,115,119
115,116,120
116,117,121
117,118,122
118,119,123
119,120,124
120,121,125
121,122,126
122,123,127
123,124,128
124,125,129
125,126,130
126,127,131
127,128,132
128,129,133
129,130,134
130,131,135
131,132,136
132,133,137
133,134,138
134,135,139
135,136,140
136,137,141
137,138,142
138,139,143
139,140,144
140,141,145
141,142,146
142,143,147
143,144,148
144,145,149
145,146,150
146,147,151
147,148,152
148,149,153
149,150,154
150,151,155
151,152,156
152,153,157
153,154,158
154,155,159
155,156,160
156,157,161
157,158,162
158,159,163
159,160,164
160,161,165
161,162,166
162,163,167
163,164,168
164,165,169
165,166,170
166,167,171
167,168,172
168,169,173
169,170,174
170,171,175
171,172,176
172,173,177
173,174,178
174,175,179
175,176,180
176,177,181
177,178,182
178,179,183
179,180,184
180,181,185
181,182,186
182,183,187
183,184,188
184,185,189
185,186,190
186,187,191
187,188,192
188,189,193
189,190,194
190,191,195
191,192,196
192,193,197
193,194,198
194,195,199
195,196,200
196,197,201
197,198,202
198,199,203
199,200,204
200,201,205
201,202,206
202,203,207
203,204,208
204,205,209
205,206,210
206,207,211
207,208,212
208,209,213
209,210,214
210,211,215
211,212,216
212,213,217
213,214,218
214,215,219
215,216,220
216,217,221
217,218,222
218,219,223
219,220,224
220,221,225
221,222,226
222,223,227
223,224,228
224,225,229
225,226,230
226,227,231
227,228,232
228,229,233
229,230,234
230,231,235
231,232,236
232,233,237
233,234,238
234,235,239
235,236,240
236,237,241
237,238,242
